genres,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity
432hz,1048887.333,0.49478,0.299333333,0.450678333,0.477761667,0.131,-16.854,0.076816667,120.2856667,0.22175,1,5,52.16666667
[],229852.6102,0.679244745,0.521473305,0.401522143,0.196737314,0.221586215,-12.67907565,0.112267076,112.0251678,0.515920046,1,7,21.6820047
a cappella,193652.2047,0.621531719,0.577016906,0.345694086,0.003798922,0.127086818,-12.77021103,0.095324274,111.8132302,0.453185635,1,11,43.35181881
abstract,343018.5,0.359395,0.4595,0.487,0.7914,0.11948,-14.092,0.04342,124.7432,0.30499,1,1,41.5
abstract beats,233824.4,0.353346667,0.6944,0.6134,0.349402612,0.102453333,-6.6998,0.143453333,119.3984,0.634186667,0,10,58.6
abstract hip hop,249095.1032,0.205871988,0.723131579,0.645460819,0.002852672,0.168031754,-7.216007018,0.250104386,112.1602865,0.584391813,1,11,43.80497076
accordeon,162613.3333,0.801333333,0.626333333,0.309,0.616,0.252666667,-10.73666667,0.035733333,114.522,0.543666667,1,2,28.66666667
accordion,166508.2083,0.486208333,0.640833333,0.364,0.111317263,0.186975,-14.43654167,0.082775,112.7221667,0.643916667,1,2,15.20833333
acid house,293609.3111,0.057002333,0.684227778,0.721418889,0.320219356,0.232381111,-10.37831111,0.058509444,123.1759333,0.622205556,1,11,44.56666667
acid jazz,284362.3667,0.155414,0.7142,0.694666667,0.190613133,0.1068,-10.23466667,0.05202,112.2434,0.789366667,1,6,44.03333333
acid rock,252930.7174,0.258026865,0.453541141,0.592055437,0.159559889,0.235853765,-11.12468442,0.072292353,125.4659373,0.535974532,1,9,34.50001162
acid trance,216060,0.0035355,0.557,0.925,0.7765,0.152,-7.128,0.04235,134.8435,0.6395,1,2,56.5
acousmatic,180883.1915,0.91579375,0.414258917,0.250570367,0.59703367,0.256992042,-21.01550979,0.084794146,105.5481344,0.309735208,1,0,8.081875
acoustic blues,204589.7753,0.756161067,0.600931694,0.358590687,0.092911532,0.186153006,-12.65395361,0.066539553,114.1003973,0.630017669,1,7,23.76447984
acoustic pop,234521.8894,0.485249726,0.52782081,0.482990348,0.047113693,0.153360585,-9.214582532,0.04012191,117.5559651,0.38460085,1,11,52.86698246
acoustic punk,192338.4243,0.374439029,0.527967143,0.614435714,0.068066512,0.180224429,-8.175711429,0.067979429,120.9605543,0.740857143,1,9,38.99857143
adoracion,296901.0833,0.389666667,0.496944444,0.519083333,0,0.31025,-7.925083333,0.037402778,132.7866111,0.309694444,1,7,46.63888889
adult standards,195660.1855,0.652903845,0.498711382,0.385813873,0.122368218,0.194290601,-12.21088215,0.054211931,113.5874711,0.504975587,1,0,30.30883742
adventista,200485.4203,0.777697101,0.532014493,0.325202899,7.44E-06,0.13955942,-9.220130435,0.028902899,113.7904638,0.519594203,1,6,25.69565217
afghan pop,301078.0833,0.4504,0.696833333,0.672166667,0.00147285,0.098670833,-7.560708333,0.0802,113.1881667,0.808291667,1,7,38.58333333
african gospel,534036,0.77,0.605,0.602,0.000761,0.083,-6.726,0.0413,129.305,0.903,1,4,32
african percussion,284304.5333,0.3492,0.593866667,0.7624,0.255481912,0.12804,-8.04,0.08654,132.613,0.4638,0,0,12.73333333
african reggae,267519.6667,0.250397222,0.751194444,0.663166667,0.003530777,0.107577778,-7.365055556,0.057638889,118.4155833,0.770138889,1,7,44.41666667
african rock,231344.8083,0.097749838,0.672716667,0.574125,0.093797965,0.148595833,-8.675066667,0.07028,119.2233833,0.525283333,1,8,42.025
afro dancehall,206349.3167,0.066539235,0.608733333,0.760016667,0.009239641,0.21595,-5.9619,0.169973333,134.1463667,0.585633333,1,11,53.03333333
afro house,235788.5,0.19975,0.6675,0.5965,0.195746,0.1115,-8.674,0.1682,132.147,0.673,1,5,54
afro psych,318605.5,0.2443,0.438,0.75975,0.399225,0.151,-11.1595,0.053425,137.68125,0.80475,1,1,27.75
